Product Type,SKU (Stock Keeping Unit),Order Date,Price,Availability,Number of Products Sold,Revenue Generated,Customer Demographics,Stock Levels,Lead Times,Order Quantities,Shipping Times,Shipping Carriers,Shipping Costs,Supplier Name,Location,Lead Time,Production Volumes,Manufacturing Lead time,Manufacturing Costs,Inspection Results,Defect Rates,Transportation Modes,Routes,Costs
haircare,SKU0,1/3/2022,$69.81 ,55,802,"$8,662.00 ",Non-binary,58,7,96,4,Carrier B,$2.96 ,Supplier 3,Mumbai,29,215,29,$46.28 ,Pending,0.23,Road,Route B,$187.75 
skincare,SKU1,2/3/2022,$14.84 ,95,736,"$7,460.90 ",Female,53,30,37,2,Carrier A,$9.72 ,Supplier 3,Mumbai,23,517,30,$33.62 ,Pending,4.85,Road,Route B,$503.07 
skincare,SKU10,2/18/2022,$15.71 ,11,996,"$2,330.97 ",Non-binary,51,13,80,2,Carrier C,$8.67 ,Supplier 5,Kolkata,18,830,5,$96.53 ,Pass,1.73,Road,Route B,$806.10 
skincare,SKU11,1/8/2022,$90.64 ,95,960,"$6,099.94 ",Female,46,23,60,1,Carrier A,$4.52 ,Supplier 2,Kolkata,28,362,11,$27.59 ,Pending,0.02,Air,Route A,$126.72 
haircare,SKU12,4/2/2022,$71.21 ,41,336,"$2,873.74 ",Unknown,100,30,85,4,Carrier A,$1.33 ,Supplier 4,Kolkata,3,563,3,$32.32 ,Fail,2.16,Road,Route B,$402.97 
skincare,SKU13,2/4/2022,$16.16 ,5,249,"$4,052.74 ",Male,80,8,48,9,Carrier A,$9.54 ,Supplier 5,Bangalore,23,173,10,$97.83 ,Pending,1.63,Road,Route B,$547.24 
skincare,SKU14,1/22/2022,$99.17 ,26,562,"$8,653.57 ",Non-binary,54,29,78,5,Carrier B,$2.04 ,Supplier 1,Kolkata,25,558,14,$5.79 ,Pending,0.1,Air,Route B,$929.24 
skincare,SKU15,3/2/2022,$36.99 ,94,469,"$5,442.09 ",Non-binary,9,8,69,7,Carrier B,$2.42 ,Supplier 1,Bangalore,14,580,7,$97.12 ,Pass,2.26,Sea,Route B,$127.86 
skincare,SKU16,4/3/2022,$7.55 ,74,280,"$6,453.80 ",Female,2,5,78,1,Carrier B,$4.19 ,Supplier 1,Bangalore,3,399,21,$77.11 ,Pass,1.01,Air,Route A,$865.53 
cosmetics,SKU17,3/23/2022,$81.46 ,82,126,"$2,629.40 ",Female,45,17,85,9,Carrier C,$3.59 ,Supplier 1,Chennai,7,453,16,$47.68 ,Fail,0.1,Air,Route C,$670.93 
